id,klien_id,value
1,1,100
2,2,100
3,3,100
4,4,100
5,5,100
6,6,100
7,7,100
8,8,100
9,9,100
10,10,100
11,11,100
12,12,100
13,13,100
14,14,100
15,15,100
16,16,100
17,17,100
18,18,100
19,19,100
20,20,100
21,21,100
22,22,100
23,23,100
24,24,100
25,25,100
26,26,100
27,27,100
28,28,100
29,29,100
30,1,101
31,2,101
32,3,101
33,4,101
34,5,101
35,6,101
36,7,101
37,8,101
38,9,101
39,10,101
40,11,101
41,12,101
42,13,101
43,14,101
44,15,101
45,16,101
46,17,101
47,18,101
48,19,101
49,20,101
50,21,101
51,22,101
52,23,101
53,24,101
54,25,101
55,26,101
56,27,101
57,28,101
58,29,101
